year,ac_no,ac_name,district,turnout_pct,winner_candidate,winner_party,winner_votes,winner_pct,runnerup_candidate,runnerup_party,runnerup_votes,runnerup_pct,margin_votes
2022,303,Kapilvastu (SC),Siddharthnagar,55.71,Shyam Dhani,BJP,122940.0,48.72,Vinay Paswan,SP,92001.0,36.46,30939.0
2022,304,Bansi,Siddharthnagar,49.51,Jai Pratap Singh,BJP,84596.0,44.82,Monu Dubey,SP,64256.0,34.04,20340.0
2022,305,Itwa,Siddharthnagar,49.56,Mata Prasad Pandey,SP,64253.0,38.54,Satish Chandra Dwiwedi,BJP,62591.0,37.55,1662.0
2022,306,Domariyaganj,Siddharthnagar,50.42,Saiyada Khatoon,SP,85098.0,41.19,Raghvendra Pratap Singh,BJP,84327.0,40.82,771.0
2022,307,Harraiya,Basti,56.91,Ajay Kumar Singh,BJP,88200.0,39.75,Triyambak Pathak,SP,69871.0,31.57,18329.0
2022,308,Kaptanganj,Basti,59.09,Kavindra Chaudhary,SP,94273.0,43.66,Chandra Prakash Shukla,BJP,70094.0,32.46,24179.0
2022,309,Rudhauli,Basti,54.47,Rajendra Prasad Chaudhary,SP,86360.0,36.82,Sangeeta Pratap Jaiswal,BJP,71134.0,30.33,15226.0
2022,310,Basti Sadar,Basti,58.56,Mahendra Nath Yadav,SP,86029.0,39.81,Dayaram Choudhary,BJP,84250.0,38.99,1779.0
2022,311,Mahadewa (SC),Basti,58.16,Dudhram,SBSP,83350.0,39.47,Ravi Kumar Sonkar,BJP,77855.0,36.87,5495.0
2022,312,Menhdawal,Sant Kabir Nagar,52.9,Anil Kumar Tripathi,NISHAD,90193.0,37.23,Jay Chand,SP,84970.0,35.08,5223.0
2022,313,Khalilabad,Sant Kabir Nagar,54.72,Ankur Raj Tiwari,BJP,76086.0,30.36,Digvijay Narayan,SP,63464.0,25.32,12262.0
2022,314,Dhanghata (SC),Sant Kabir Nagar,55.81,Ganesh Chandra Chauhan,BJP,83241.0,38.5,Alagu Prasad,SBSP,72688.0,33.62,10553.0
2022,315,Pharenda,Maharajganj,60.9,Virendra Chaudhary,INC,85181.0,40.28,Bajrang Bahadur Singh,BJP,83935.0,39.69,1246.0
