risk_rank,ac_no,constituency,district,risk_score,winner_party_2022,winner_candidate_2022,winner_pct_2022,runnerup_party_2022,runnerup_candidate_2022,runnerup_pct_2022,margin_votes_2022,margin_pct_2022,margin_pct_2017,margin_trend,seat_turnover,closeness_score,trend_score,turnover_score
221,123,Bithari Chainpur,Bareilly,59.83,BJP,Raghavendra Sharma,46.53,SP,Agam Maurya,40.15,15841.0,6.380000000000003,8.39,2.009999999999998,False,87.24,54.019999999999996,0.0
222,341,Salempur (SC),Deoria,59.63,BJP,Vijay Laxmi Gautam,46.15,SBSP,Manbodh Prasad,36.8,16608.0,9.350000000000001,15.989999999999998,6.639999999999997,False,81.3,63.279999999999994,0.0
223,214,Arya Nagar,Kanpur Nagar,59.0,SP,Amitabh Bajpai,50.56,BJP,Suresh Awasthi,45.35,7924.0,5.210000000000001,3.8999999999999986,-1.3100000000000023,False,89.58,47.379999999999995,0.0
224,367,Malhani,Jaunpur,58.92,SP,Lucky Yadav,42.57,JD(U),Dhananjay Singh,34.91,17527.0,7.660000000000004,10.3,2.639999999999997,False,84.67999999999999,55.279999999999994,0.0
225,57,Modinagar,Ghaziabad,58.86,BJP,Manju Shiwach,50.63,RLD,Sudesh Sharma,35.17,34619.0,15.46,30.990000000000002,15.530000000000001,False,69.08,81.06,0.0
226,129,Puranpur (SC),Pilibhit,58.77,BJP,Babu Ram Paswan,50.12,SP,Ms Arti,40.21,26576.0,9.909999999999997,16.049999999999997,6.140000000000001,False,80.18,62.28,0.0
227,189,Sadar,Sultanpur,58.63,BJP,Raj Prasad Upadhyay,41.89,SP,Arun Verma,34.15,15754.0,7.740000000000002,10.020000000000003,2.280000000000001,False,84.52,54.56,0.0
228,380,Mughalsarai,Chandauli,58.54,BJP,Ramesh Jaiswal,42.4,SP,Chandra Shekhar Yadav,36.21,14921.0,6.189999999999998,5.740000000000002,-0.44999999999999574,False,87.62,49.10000000000001,0.0
229,295,Mehnaun,Gonda,58.32,BJP,Vinay Kumar Dwivedi,50.05,SP,Nandita Shukla,39.22,23128.0,10.829999999999998,17.750000000000004,6.920000000000005,False,78.34,63.84000000000001,0.0
230,42,Hasanpur,Amroha,58.27,BJP,Mahender Khadakvanshi,44.67,SP,Mukhya Gurjar,36.35,22382.0,8.32,10.969999999999999,2.6499999999999986,False,83.36,55.3,0.0
231,104,Etah,Etah,58.22,BJP,Vipin Kumar David,46.34,SP,Jugendra Singh Yadav,38.15,17247.0,8.190000000000005,10.54,2.3499999999999943,False,83.61999999999999,54.69999999999999,0.0
232,145,Maholi,Sitapur,58.15,BJP,Shashank Trivedi,44.73,SP,Anoop Kumar Gupta,39.87,12172.0,4.859999999999999,1.5499999999999972,-3.3100000000000023,False,90.28,43.379999999999995,0.0
233,270,Dariyabad,Barabanki,58.14,BJP,Satish Sharma,46.87,SP,Arvind Kumar Singh Gope,35.03,32617.0,11.839999999999996,20.139999999999997,8.3,False,76.32000000000001,66.6,0.0
234,19,Barhapur,Bijnor,58.13,BJP,Kunwar Sushant Singh,41.58,SP,Kapil Kumar,35.62,14345.0,5.960000000000001,4.439999999999998,-1.5200000000000031,False,88.08,46.959999999999994,0.0
235,205,Rasulabad (SC),Kanpur Dehat,58.1,BJP,Poonam Sankhwar,46.77,SP,Kamlesh Chandra Diwakar,35.8,21512.0,10.970000000000006,17.76,6.789999999999996,False,78.05999999999999,63.57999999999999,0.0
236,119,Meerganj,Bareilly,57.93,BJP,DC Verma,50.98,SP,Sultan Baig,36.76,32840.0,14.219999999999999,26.14,11.920000000000002,False,71.56,73.84,0.0
237,156,Hardoi,Hardoi,57.86,BJP,Nitin Agarwal,53.19,SP,Anil Verma,35.39,42411.0,17.799999999999997,2.240000000000002,-15.559999999999995,True,64.4,18.88000000000001,100.0
238,284,Matera,Bahraich,57.66,SP,Mariya Shah,48.13,BJP,Arun Veer Singh,43.24,10428.0,4.890000000000001,0.8000000000000043,-4.089999999999996,False,90.22,41.82000000000001,0.0
239,361,Ballia Nagar,Ballia,57.33,BJP,Daya Shankar Singh,51.22,SP,Narad Rai,38.28,26239.0,12.939999999999998,21.720000000000002,8.780000000000005,False,74.12,67.56,0.0
240,137,Palia,Lakhimpur Kheri,57.32,BJP,Harvindar Kumar Sahani,50.2,SP,Pritinder Singh Kakku,34.1,38129.0,16.1,30.139999999999997,14.039999999999996,False,67.8,78.07999999999998,0.0
241,113,Sahaswan,Budaun,57.18,SP,Brajesh Yadav,33.35,BSP,Haji Vittan Musarrat,27.79,13945.0,5.560000000000002,1.8000000000000007,-3.7600000000000016,False,88.88,42.48,0.0
242,293,Utraula,Balrampur,57.1,BJP,Ram Pratap Verma,44.43,SP,Haseeb Hasan Khan,33.93,21769.0,10.5,14.839999999999996,4.339999999999996,False,79.0,58.67999999999999,0.0
243,204,Auraiya (SC),Auraiya,57.06,BJP,Gudiya Katheriya,45.28,SP,Jitendra Kumar Dohare,33.81,22447.0,11.469999999999999,17.360000000000003,5.890000000000004,False,77.06,61.78000000000001,0.0
244,244,Rampur Khas,Pratapgarh,57.01,INC,Aradhana Misra Mona,50.27,BJP,Nagesh Pratap Singh,41.49,14741.0,8.780000000000001,10.099999999999994,1.3199999999999932,False,82.44,52.639999999999986,0.0
245,178,Tiloi,Amethi,56.95,BJP,Mayankeshwar Sharan Singh,48.54,SP,Mohd Naim,34.96,27829.0,13.579999999999998,22.799999999999997,9.219999999999999,False,72.84,68.44,0.0
246,381,Sakaldiha,Chandauli,56.9,SP,Prabhunarayan Yadav,40.7,BJP,Suryamuni Tiwari,32.84,16661.0,7.859999999999999,7.460000000000001,-0.3999999999999986,False,84.28,49.2,0.0
247,339,Rampur Karkhana,Deoria,56.81,BJP,Surendra Chaurasia,43.85,SP,Ghazala Lari,36.76,14670.0,7.090000000000003,5.25,-1.8400000000000034,False,85.82,46.31999999999999,0.0
248,60,Garhmukteshwar,Hapur,56.77,BJP,Harendra Singh Tewatia,44.07,SP,Ravindra Chaudhary,32.94,26306.0,11.130000000000003,15.96,4.829999999999998,False,77.74,59.66,0.0
249,165,Unnao,Unnao,56.75,BJP,Pankaj Gupta,51.62,SP,Abhinav Kumar,38.94,31128.0,12.68,20.07,7.390000000000001,False,74.64,64.78,0.0
250,133,Tilhar,Shahjahanpur,56.74,BJP,Salona Kushwaha,47.93,SP,Roshan Lal Verma,41.71,13277.0,6.219999999999999,2.8200000000000003,-3.3999999999999986,False,87.56,43.2,0.0
251,26,Thakurdwara,Moradabad,56.73,SP,Nawab Jan,48.76,BJP,Ajay Pratap Singh,41.62,19684.0,7.140000000000001,5.25,-1.8900000000000006,False,85.72,46.22,0.0
252,272,Haidergarh (SC),Barabanki,56.7,BJP,Dinesh Rawat,50.9,SP,Ram Magan Rawat,39.73,25691.0,11.170000000000002,15.959999999999997,4.789999999999996,False,77.66,59.57999999999999,0.0
